"","beta_0","beta_1"
"1",0.500108229532048,0.299825943344286
"2",0.500009947975198,0.299972432530952
"3",0.500212874466116,0.300010741416725
"4",0.499870394280967,0.299913757212843
"5",0.500070765182346,0.300006324557652
"6",0.49982317643433,0.299935628485566
"7",0.499580399732101,0.299753375078561
"8",0.499819314385016,0.299962789577036
"9",0.500326711919053,0.300215205241477
"10",0.500337574056713,0.300197892683028
"11",0.500114270082012,0.299573414166208
"12",0.500252696790739,0.299860129238317
"13",0.500116182425746,0.29995874575099
"14",0.499930118671667,0.300001831555381
"15",0.500218104670022,0.30005274117129
"16",0.500234331342625,0.3000238673432
"17",0.500222153517417,0.299855142524185
"18",0.500085911618993,0.300045843076462
"19",0.499927666220748,0.299622993195284
"20",0.499956903565256,0.299945157195762
"21",0.500293853679359,0.300118978114339
"22",0.499993854530169,0.299978909518088
"23",0.500128002049331,0.29996451766939
"24",0.500071214097775,0.299684634171398
"25",0.500235051398459,0.299833892433853
"26",0.499936579512051,0.299644023179409
"27",0.500253674576388,0.299854553513134
"28",0.49989492947807,0.299981564354067
"29",0.500283972815939,0.299784948058196
"30",0.500075425444682,0.300040609254661
"31",0.50028017118638,0.300034074601563
"32",0.50011855421041,0.300140324108606
"33",0.500276907873776,0.300042433082828
"34",0.499577409426168,0.299943772414168
"35",0.50009060119786,0.300022507411463
"36",0.500205153938988,0.299967577851845
"37",0.500207952952937,0.299838544576358
"38",0.499710252325027,0.299420563324374
"39",0.499869856106873,0.299708306197854
"40",0.500020011075908,0.299560827953117
"41",0.500162806125541,0.299599822664039
"42",0.500209717127959,0.299541979372374
"43",0.499971571506469,0.299627571701124
"44",0.499799884046928,0.299912967436079
"45",0.500028972575401,0.300071356597911
"46",0.499571173940953,0.299897917982047
"47",0.499762313667388,0.299854329213132
"48",0.500056246167896,0.300005276494489
"49",0.500193768102008,0.299966976729086
"50",0.499985703171513,0.300039528794077
"51",0.499900778021596,0.299729763112193
"52",0.499954759062642,0.299623724946678
"53",0.499872088748707,0.300052484871758
"54",0.499772364975542,0.299847200897404
"55",0.499908074462323,0.300200843706409
"56",0.50023772182208,0.300020262989458
"57",0.499998012376938,0.30021838742943
"58",0.499997915731668,0.299736924439113
"59",0.499944765382114,0.299987405954737
"60",0.500332873718085,0.300120787521406
"61",0.500084587663014,0.29969791013985
"62",0.499792567500587,0.299820110661121
"63",0.500235287200438,0.299531798996827
"64",0.500206959721325,0.299997554562805
"65",0.499954705094715,0.300039713345388
"66",0.500030845919659,0.299969393683105
"67",0.500054119926757,0.299773122586496
"68",0.499907030552634,0.299839460221659
"69",0.500124708424052,0.300153094840764
